행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시 도봉구 (1132000000),"11,558","21,072","32,746","36,888","38,964","51,195","52,860","33,668","15,877","2,395",72,"297,059","297,059","11,534","20,998","32,568","36,892","38,877","51,087","52,922",2026년04월_거주자_70~80세,"15,887","2,415",71
서울특별시 도봉구 창제1동(1132051100),935,"1,749","2,563","3,096","3,186","3,931","3,629","2,299","1,154",164,5,"22,527","22,527",921,"1,737","2,528","3,078","3,148","3,912","3,589",2026년04월_거주자_70~81세,"1,146",165,5
서울특별시 도봉구 창제2동(1132051200),"1,047","1,850","3,250","3,811","3,665","4,735","4,682","2,842","1,350",170,3,"27,380","27,380","1,052","1,832","3,228","3,835","3,655","4,713","4,694",2026년04월_거주자_70~82세,"1,353",166,3
서울특별시 도봉구 창제3동(1132051300),371,859,"1,290","1,384","1,647","2,313","2,321","1,494",752,89,5,"12,531","12,531",373,864,"1,268","1,405","1,636","2,310","2,336",2026년04월_거주자_70~83세,752,87,4
서울특별시 도봉구 창제4동(1132051400),"1,256","2,128","3,141","3,616","3,582","4,502","4,111","2,194","1,040",201,4,"25,746","25,746","1,260","2,118","3,119","3,629","3,581","4,487","4,104",2026년04월_거주자_70~84세,"1,043",204,4
서울특별시 도봉구 창제5동(1132051500),989,"1,605","2,836","3,344","2,987","3,919","3,909","2,296","1,056",191,8,"23,144","23,144",989,"1,611","2,815","3,343","2,971","3,922","3,929",2026년04월_거주자_70~85세,"1,053",193,6
서울특별시 도봉구 도봉제1동(1132052100),440,966,"1,777","1,961","2,201","3,301","3,882","3,024","1,511",192,4,"19,268","19,268",429,962,"1,756","1,973","2,189","3,308","3,897",2026년04월_거주자_70~86세,"1,526",194,4
서울특별시 도봉구 도봉제2동(1132052200),"1,202","1,354","2,320","3,225","3,253","3,976","4,661","3,527","1,559",230,9,"25,384","25,384","1,200","1,362","2,326","3,219","3,261","3,988","4,691",2026년04월_거주자_70~87세,"1,558",230,9
서울특별시 도봉구 쌍문제1동(1132066000),738,"1,401","2,518","2,343","2,507","3,549","3,534","2,366","1,257",165,7,"20,364","20,364",745,"1,390","2,518","2,322","2,505","3,545","3,522",2026년04월_거주자_70~88세,"1,262",170,8
서울특별시 도봉구 쌍문제2동(1132067000),616,"1,069","1,846","2,213","2,261","2,966","3,140","2,030",901,170,4,"17,189","17,189",618,"1,061","1,841","2,210","2,254","2,943","3,146",2026년04월_거주자_70~89세,895,175,4
서울특별시 도봉구 쌍문제3동(1132068000),529,865,"2,047","2,246","2,110","2,590","2,662","1,766",918,95,4,"15,827","15,827",528,855,"2,055","2,233","2,104","2,583","2,664",2026년04월_거주자_70~90세,921,98,4
서울특별시 도봉구 쌍문제4동(1132068100),789,"1,692","1,858","2,034","2,465","3,048","3,099","1,683",719,132,1,"17,519","17,519",782,"1,682","1,851","2,044","2,465","3,041","3,096",2026년04월_거주자_70~91세,724,131,1
서울특별시 도봉구 방학제1동(1132069000),954,"2,035","3,130","3,059","3,590","4,953","5,053","3,156","1,405",205,7,"27,549","27,549",952,"2,038","3,103","3,047","3,608","4,943","5,070",2026년04월_거주자_70~92세,"1,405",210,8
서울특별시 도봉구 방학제2동(1132070000),489,"1,048","1,757","1,850","2,079","3,215","3,486","2,269","1,143",127,1,"17,443","17,443",489,"1,044","1,743","1,852","2,059","3,207","3,495",2026년04월_거주자_70~93세,"1,141",128,1
서울특별시 도봉구 방학제3동(1132071000),"1,203","2,451","2,413","2,706","3,431","4,197","4,691","2,722","1,112",264,10,"25,188","25,188","1,196","2,442","2,417","2,702","3,441","4,185","4,689",2026년04월_거주자_70~94세,"1,108",264,10
